class,name,formula,rt
CAR,CAR 10:0,C17H33N1O4,4.84
CAR,CAR 10:1,C17H31N1O4,4.84
CAR,CAR 10:2,C17H29N1O4,4.9
CAR,CAR 12:0,C19H37N1O4,4.83
CAR,CAR 12:1,C19H35N1O4,4.81
CAR,CAR 14:0,C21H41N1O4,4.78
CAR,CAR 14:1,C21H39N1O4,4.78
CAR,CAR 14:2,C21H37N1O4,4.81
CAR,CAR 16:0,C23H45N1O4,4.71
CAR,CAR 16:1,C23H43N1O4,4.76
CAR,CAR 18:0,C25H49N1O4,4.79
CAR,CAR 18:1,C25H47N1O4,4.72
CAR,CAR 18:1OH,C25H47N1O5,5.07
CAR,CAR d3-18:1,C25H44D3N1O4,4.72
CAR,CAR 18:2,C25H45N1O4,4.77
CAR,CAR 18:0OH,C25H49N1O5,5.04
CAR,CAR 2:0,C9H17N1O4,5.33
CAR,CAR d3-2:0,C9H14D3N1O4,5.32
CAR,CAR 20:4,C27H45N1O4,4.84
CAR,CAR 3:0,C10H19N1O4,5.19
CAR,CAR 3DC,C10H17N1O6,5.3
CAR,CAR 4:0,C11H21N1O4,5.59
CAR,CAR 4DC,C11H19N1O6,5.59
CAR,CAR 4OH,C11H21N1O5,5.59
CAR,CAR 5:0,C12H23N1O4,5.07
CAR,CAR 5:1,C12H21N1O4,5.07
CAR,CAR 5DC,C12H21N1O6,5.39
CAR,CAR 5OH,C12H23N1O5,5.39
CAR,CAR 6:0,C13H25N1O4,4.52
CAR,CAR 6:1,C13H23N1O4,4.52
CAR,CAR 8:0,C15H29N1O4,4.89
CAR,CAR 8:1,C15H27N1O4,4.89
CAR,CAR 8:1OH,C15H27N1O5,4.89
CAR,Carnitine,C7H15N1O3,5.81
CAR,Carnitine-d9,C7H6D9N1O3,5.8
CE,CE 12:0,C39H68O2,0.88
CE,CE 14:0,C41H72O2,0.9
CE,CE 14:1,C41H70O2,0.9
CE,CE 15:0,C42H74O2,0.9
CE,CE 15:1,C42H72O2,0.9
CE,CE 16:0,C43H76O2,0.9
CE,CE 16:1,C43H74O2,0.9
CE,CE 16:2,C43H72O2,0.9
CE,CE 17:0,C44H78O2,0.9
CE,CE 17:1,C44H76O2,0.9
CE,CE 18:0,C45H80O2,0.96
CE,CE 18:1,C45H78O2,0.9
CE,CE 18:2,C45H76O2,0.95
CE,CE 18:3,C45H74O2,0.95
CE,CE 19:0,C46H82O2,0.95
CE,CE 20:0,C47H84O2,0.95
CE,CE 20:1,C47H82O2,0.95
CE,CE 20:2,C47H80O2,0.97
CE,CE 20:3,C47H78O2,0.97
CE,CE 20:4,C47H76O2,1.07
